Frequency (compatible)
	[12] Average of 'PSD_Sample1'-7/11/2019 11:38:27 AM
Size Classes (um)	Volume Density (%)
0.0106590951794791	0
0.0121104706271294	0
0.0137594698556517	0
0.0156330019317723	0
0.0177616399441738	0
0.0201801199080837	0
0.0229279076022605	0
0.0260498425882602	0
0.0295968699213629	0
0.0336268714935288	0
0.038205610574587	0
0.0434078049650826	0
0.0493183462729418	0
0.0560336852106285	0
0.0636634055186562	0
0.0723320121994063	0
0.0821809632424057	0
0.0933709779956195	0
0.106084659851734	0
0.120529476047537	0
0.136941143202018	0
0.15558747383984	0
0.176772746669359	0
0.200842671931266	0
0.228190032844481	0
0.259261095208818	0
0.294562889759019	0
0.334671486106693	0
0.380241393287843	0
0.432016240318085	0
0.49084091104539	0
0.557675331321991	0
0.633610133480362	0
0.719884453732822	0
0.817906152920242	0.000311101485601679
0.929274790580589	0.0801367568192367
1.05580772723788	1.03266522411875
1.19956978085972	3.19229406736065
1.36290692143004	6.08839199032282
1.54848455347938	8.91112589160358
1.75933101128309	10.874073036059
1.99888697650066	11.5426479997506
2.27106162467401	11.0083357430689
2.58029641680707	9.77801420326703
2.93163757700458	8.44869974202422
3.33081843889097	7.38576851519797
3.78435300457289	6.64413474795258
4.29964224288018	6.15165668319629
4.88509486150493	5.7974904908322
5.55026452384933	5.41941625759861
6.30600574974513	4.88810694739082
7.16465104409825	4.16502686141983
8.14021214391897	3.29523059346334
9.2486086677716	2.37850026888438
10.5079278988422	1.52910796183033
11.9387199408741	0.843659192655053
13.564333063451	0.372894885588835
15.4112947089334	0.11098352468251
17.5097443784805	0.00923781106033061
19.8939254611755	0.000112268370088486
22.6027440321292	0
25.6804037382657	0
29.1771271321259	0
33.1499752247168	0
37.6637786312196	0
42.7921955043824	0
48.6189135194051	0
55.2390155248126	0
62.7605311445845	0
71.3061996512424	0
81.0154728772013	0
92.046790848742	0
104.580167277359	0
118.820127099628	0
134.999044001608	0
153.380932390916	0
174.265755695474	0
197.994321293572	0
224.953841952784	0
255.584254531654	0
290.385399055384	0
329.925175316743	0
374.848810105023	0
425.889386289648	0
483.879805576425	0
549.766380149798	0
624.62427499524	0
709.675052896144	0
806.306608411884	0
916.095816128144	0
1040.83426276321	0
1182.55748303767	0
1343.57817639073	0
1526.52394658767	0
1734.3801800692	0
1970.53876274983	0
2238.8534302466	0
2543.70265476646	0
2890.06109486733	0
3283.58077404002	0
